,CountryCode,ShortName,GDP,Life expectancy,Enrollment primary education,Enrollment secondary education,Enrollment tertiary education,Renewable energy consumption,Fossil fuel energy consumption,Year
0,ABW,Aruba,24289.141516132597,74.95353658536591,113.728660583496,95.83605194091801,37.3517189025879,5.472760428860179,,2010
1,ABW,Aruba,25353.787544644103,75.0813902439024,105.219398498535,97.0151214599609,38.737621307373,5.66206401405908,,2011
2,ABW,Aruba,,75.205756097561,104.062759399414,111.174522399902,37.7611312866211,,,2012
3,ADO,Andorra,39639.386021211,,,,,,,2010
4,ADO,Andorra,41630.0525792976,,,,,,,2011
5,ADO,Andorra,39666.3692147448,,,,,,,2012
6,AFG,Afghanistan,569.940728793286,58.970829268292704,99.3988189697266,50.1814994812012,,15.1715175144124,,2010
7,AFG,Afghanistan,622.379654358451,59.327951219512215,97.4010162353516,51.77017974853521,3.74394011497498,10.807524891266699,,2011
8,AFG,Afghanistan,690.8426290149561,59.67960975609761,103.94474792480499,54.038238525390604,,,,2012
9,AGO,Angola,3928.8245135436296,50.654170731707296,123.83676147460899,31.313989639282198,,57.2750449010808,39.6231118028568,2010
10,AGO,Angola,5053.7386489293,51.0593170731707,140.453704833984,31.5163898468018,7.49503993988037,57.703080525119994,38.7762231544854,2011
11,AGO,Angola,5531.77629869671,51.464,,,,57.175269970632286,38.9047614213091,2012
12,ALB,Albania,4094.3588320382396,76.97851219512201,,,43.5615310668945,37.18621254807261,63.0060071058106,2010
13,ALB,Albania,4437.81199900225,77.16321951219508,,,47.74272155761721,36.152322248187396,61.76574819600221,2011
14,ALB,Albania,4247.48543681502,77.35046341463409,,,55.5009613037109,38.2218347471341,59.3713080107761,2012
15,ARB,Arab World,5955.0647563846605,70.0030169216615,99.2714080810547,69.1984100341797,24.9440593719482,5.802544951822821,96.3573934062905,2010
16,ARB,Arab World,6911.56685935063,70.2193474619285,99.0228118896484,71.6562271118164,24.6085605621338,5.6646016909064505,96.51452377434792,2011
17,ARB,Arab World,7465.145863912049,70.4289908434045,100.747459411621,72.5493087768555,25.9841194152832,4.6443757030718205,96.2101531035948,2012
18,ARE,United Arab Emirates,34341.9112921486,76.67524390243901,112.71839141845699,,,0.139800814197871,99.9035185366592,2010
19,ARE,United Arab Emirates,39901.2209155518,76.85119512195119,110.88981628417999,,,0.141917439831288,99.89937134284521,2011
20,ARE,United Arab Emirates,41712.1242109135,77.0241463414634,108.328399658203,,,0.133041001442044,99.9052535796254,2012
21,ARG,Argentina,11198.642566685901,75.48497560975609,118.434768676758,90.22608184814449,74.8296585083008,8.960670110803651,89.51248386063509,2010
22,ARG,Argentina,13392.9169036445,75.64904878048779,117.565986633301,91.93817138671879,78.626106262207,8.95107637128109,89.6429655412694,2011
23,ARG,Argentina,14357.4115893903,75.816243902439,123.746459960938,107.28875732421899,80.3078079223633,8.772578263328219,89.80422866834152,2012
24,ARM,Armenia,3124.78401786195,74.2263414634146,,,50.6244697570801,9.36341748972634,67.3991814026011,2010
25,ARM,Armenia,3417.1718359991496,74.3428292682927,,,51.00141906738279,8.01900315689258,71.5412624263733,2011
26,ARM,Armenia,3565.5175749254,74.45209756097559,,,46.04359054565421,6.56787286973008,77.3316937320935,2012
27,ASM,American Samoa,,,,,,,,2010
28,ASM,American Samoa,,,,,,,,2011
29,ASM,American Samoa,,,,,,,,2012
30,ATG,Antigua and Barbuda,13017.310387548701,75.30878048780491,103.39949035644501,106.22010040283199,16.2319602966309,,,2010
31,ATG,Antigua and Barbuda,12817.841573309399,75.4660243902439,100.677047729492,106.11654663085899,14.3683595657349,,,2011
32,ATG,Antigua and Barbuda,13525.616220134,75.6218048780488,97.8928604125977,105.393508911133,23.4862403869629,,,2012
33,AUS,Australia,51845.6548605562,81.6951219512195,104.431381225586,130.844253540039,79.771629333496,7.15970778869288,95.0724797361545,2010
34,AUS,Australia,62216.5471294133,81.89512195121951,104.417198181152,133.045074462891,83.243408203125,7.477579185657411,94.846151997498,2011
35,AUS,Australia,67646.1038529626,82.04634146341459,104.83840179443399,135.53543090820298,86.3340911865234,8.44266614733211,94.39264051271641,2012
36,AUT,Austria,46659.840818134406,80.58048780487809,100.15052032470699,98.54810333251949,68.7215194702148,31.3980513617781,70.1076611774773,2010
37,AUT,Austria,51123.561329166296,80.9829268292683,100.377090454102,97.9698486328125,70.99989318847659,31.459278040352398,69.0310165506824,2011
38,AUT,Austria,48324.2540367606,80.9365853658537,101.207847595215,97.6903610229492,72.4360580444335,34.450599214459096,66.6567943619979,2012
39,AZE,Azerbaijan,5842.805783585761,70.4502926829268,93.76229858398442,98.80386352539058,19.2600402832031,4.449733916110031,96.93249161408221,2010
40,AZE,Azerbaijan,7189.69122920765,70.5512926829268,95.573631286621,99.5238418579102,19.647310256958,3.5563305560703795,97.8625715488742,2011
41,AZE,Azerbaijan,7393.77187697623,70.62495121951221,97.9553070068359,100.268608093262,20.4384593963623,2.8455217297110296,98.47670156655079,2012
42,BDI,Burundi,214.230990840075,54.8291951219512,135.123107910156,23.148790359497102,3.16599011421204,96.855982963671,,2010
43,BDI,Burundi,240.614483459126,55.312024390243906,139.158203125,25.9621505737305,3.00311994552612,96.64631982553641,,2011
44,BDI,Burundi,244.19648623151002,55.7892926829268,137.4150390625,28.497999191284197,3.72432994842529,,,2012
45,BEL,Belgium,44282.5493214554,80.2341463414634,104.04486083984399,105.07527160644501,67.520881652832,5.18756007288327,73.70715198744641,2010
46,BEL,Belgium,47699.8070518961,80.5853658536585,103.667930603027,106.46234130859399,69.2604827880859,5.46170735535216,68.8622825962735,2011
47,BEL,Belgium,44731.2194794638,80.3853658536585,103.355331420898,107.261611938477,70.8275527954102,7.38454222614672,69.1293681458818,2012
